dataset,representation,predictor,explainer,seed,variant,component_id,component_split,left_index,right_index,average_precision,prevalence,normalized_ap_lift,supported_atom_fraction,true_delta,predicted_delta,absolute_signed_delta_error,gap_score
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,2,test,16,37,0.4943513609049134,0.15942028985507245,0.3984524810765349,0.7101449275362319,-1.8784542062890395,0.5681061744689941,2.446560380758034,-2.446560380758034
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,7,test,135,141,0.5606776343650663,0.32941176470588235,0.34487015650930947,0.788235294117647,-1.4449365713482611,-0.2894093990325928,1.1555271723156684,-1.1555271723156684
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,13,test,120,124,0.49310249709159926,0.3333333333333333,0.23965374563739889,0.875,-1.224014811372864,-0.4936039447784424,0.7304108665944216,-0.7304108665944216
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,14,test,189,193,0.2961966413359602,0.25757575757575757,0.05201996588108924,0.5757575757575758,-1.5999318377006544,-0.24717199802398682,1.3527598396766676,-1.3527598396766676
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,23,test,283,296,0.4648318264575756,0.4528301886792453,0.02193402766384503,1.0,-1.6478174818886377,-0.2964339256286621,1.3513835562599756,-1.3513835562599756
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,31,test,544,546,0.07936507936507936,0.07936507936507936,0.0,0.0,1.9661417327390323,0.0,1.9661417327390323,-1.9661417327390323
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,34,test,604,608,0.15151515151515152,0.15151515151515152,0.0,0.45454545454545453,1.3025140804612594,-0.03698718547821045,1.3395012659394698,-1.3395012659394698
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,35,test,610,614,0.6235805860805861,0.21875,0.5181831501831502,0.4375,1.995055729081308,0.39301931858062744,1.6020364105006806,-1.6020364105006806
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,37,test,648,651,0.6860426855715589,0.323943661971831,0.5356048057412642,0.7464788732394366,-2.195031560679157,0.5995293259620667,2.7945608866412237,-2.7945608866412237
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,2,test,16,37,0.4541518122400475,0.15942028985507245,0.35062888007867726,1.0,-1.8784542062890395,0.5681061744689941,2.446560380758034,-2.446560380758034
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,7,test,135,141,0.48107458198284286,0.32941176470588235,0.226163850325292,0.9764705882352941,-1.4449365713482611,-0.2894093990325928,1.1555271723156684,-1.1555271723156684
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,13,test,120,124,0.5549148526551139,0.3333333333333333,0.3323722789826708,0.9861111111111112,-1.224014811372864,-0.4936039447784424,0.7304108665944216,-0.7304108665944216
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,14,test,189,193,0.19609511987168932,0.25757575757575757,-0.08281065486670418,0.9545454545454546,-1.5999318377006544,-0.24717199802398682,1.3527598396766676,-1.3527598396766676
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,23,test,283,296,0.5352640931734236,0.4528301886792453,0.15065506683418795,1.0,-1.6478174818886377,-0.2964339256286621,1.3513835562599756,-1.3513835562599756
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,31,test,544,546,0.07936507936507936,0.07936507936507936,0.0,0.0,1.9661417327390323,0.0,1.9661417327390323,-1.9661417327390323
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,34,test,604,608,0.11492284816939022,0.15151515151515152,-0.04312664322893296,0.9696969696969697,1.3025140804612594,-0.03698718547821045,1.3395012659394698,-1.3395012659394698
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,35,test,610,614,0.3750471194443138,0.21875,0.20006031288872164,0.96875,1.995055729081308,0.39301931858062744,1.6020364105006806,-1.6020364105006806
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,37,test,648,651,0.5436520016691142,0.323943661971831,0.3249852524688981,1.0,-2.195031560679157,0.5995293259620667,2.7945608866412237,-2.7945608866412237
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,label_permuted,2,test,16,37,0.3811816641856168,0.15942028985507245,0.2638195660139234,0.7101449275362319,-1.8784542062890395,0.0,1.8784542062890395,-1.8784542062890395
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,label_permuted,7,test,135,141,0.41323322971592746,0.32941176470588235,0.12499692150620761,0.788235294117647,-1.4449365713482611,-0.19709908962249756,1.2478374817257636,-1.2478374817257636
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,label_permuted,13,test,120,124,0.37854855716081354,0.3333333333333333,0.06782283574122032,0.875,-1.224014811372864,-0.04510915279388428,1.1789056585789797,-1.1789056585789797
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,label_permuted,14,test,189,193,0.5963252433840669,0.25757575757575757,0.4562748176193554,0.5757575757575758,-1.5999318377006544,-0.1914386749267578,1.4084931627738966,-1.4084931627738966
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,label_permuted,23,test,283,296,0.45041444726151775,0.4528301886792453,-0.004414975694467584,1.0,-1.6478174818886377,-0.013483166694641113,1.6343343151939966,-1.6343343151939966
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,label_permuted,31,test,544,546,0.07936507936507936,0.07936507936507936,0.0,0.0,1.9661417327390323,0.0,1.9661417327390323,-1.9661417327390323
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,label_permuted,34,test,604,608,0.15151515151515152,0.15151515151515152,0.0,0.45454545454545453,1.3025140804612594,0.12382423877716064,1.1786898416840987,-1.1786898416840987
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,label_permuted,35,test,610,614,0.6991496598639455,0.21875,0.6149115646258503,0.4375,1.995055729081308,0.5917564630508423,1.4032992660304657,-1.4032992660304657
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,label_permuted,37,test,648,651,0.38783046663481446,0.323943661971831,0.09449923189732971,0.7464788732394366,-2.195031560679157,0.02486443519592285,2.21989599587508,-2.21989599587508
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,label_permuted,2,test,16,37,0.17922694848445975,0.15942028985507245,0.02356309388668489,1.0,-1.8784542062890395,0.0,1.8784542062890395,-1.8784542062890395
