dataset,representation,predictor,seed,variant,permutation_seed,best_step,path,sha256
CHEMBL1862_Ki,morgan,xgboost,11,trained,,107,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL1862_Ki--morgan--seed11.json,10f2e8edb6f98183ac8140d0e5152fff9622d9ab80f2792e542b8b0ebd057128
CHEMBL1862_Ki,morgan,xgboost,11,label_permuted,20260913.0,1,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--seed11.json,c9f78d52ccf1567b6c0f69e8a22f1683db1ca0e968206d223262bcedebd26033
CHEMBL1862_Ki,morgan,xgboost,23,trained,,78,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL1862_Ki--morgan--seed23.json,992b0edebfa5ea246ad3950bd51a666af3be1c521299a9e0f1f2f84b856be874
CHEMBL1862_Ki,morgan,xgboost,23,label_permuted,20260925.0,61,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--seed23.json,0b74d6a23abf21924c4c929c2a356cebef8190e87f95c0dc1366da10ae3f3d15
CHEMBL1862_Ki,morgan,xgboost,42,trained,,84,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL1862_Ki--morgan--seed42.json,9b92906cd1e506bc623a6cb12b5c024ec77108405ac8991ede093e8e523c6501
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,20260944.0,2,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--seed42.json,af3a77ba39b5b2017002ab6c80e7fa77ada6b6f14dc8ccbf57a400c0860676a1
CHEMBL1862_Ki,morgan,mlp,11,trained,,2,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL1862_Ki--morgan--seed11.pt,0931f018cae4787d26f38575b077f826fd513189e5e50a2f671a032227190846
CHEMBL1862_Ki,morgan,mlp,11,label_permuted,20260913.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1862_Ki--morgan--seed11.pt,455847ee96906986835f5daf9ed91b6e9c473ddf681710c85d2c8725cf965293
CHEMBL1862_Ki,morgan,mlp,23,trained,,2,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL1862_Ki--morgan--seed23.pt,87bf864644e3c7956e46a3bc818c7d7d835754a0e6e3def5150ae27e7e4675ac
CHEMBL1862_Ki,morgan,mlp,23,label_permuted,20260925.0,1,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1862_Ki--morgan--seed23.pt,ded40e3fe1d2d84c7fb700d62dd67e6f155ba8a133141ee2347813df427f7710
CHEMBL1862_Ki,morgan,mlp,42,trained,,2,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL1862_Ki--morgan--seed42.pt,8901dfd2e2901e11ca1261542d545ffdf50f3d239cb99f5595d975b8bf429998
CHEMBL1862_Ki,morgan,mlp,42,label_permuted,20260944.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1862_Ki--morgan--seed42.pt,95b4c16b73cb7760f359fdd16ebb56eb7bbbf309d7c1a705e480e357765e5bc6
CHEMBL1871_Ki,morgan,xgboost,11,trained,,280,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL1871_Ki--morgan--seed11.json,47b13df0307c0d95854e08d26ea2a68c1966886d0124769467a8ebcb00b197c9
