dataset,pair_index,left_index,right_index,component_id,component_split,is_sentinel,potency_difference,mcs_atoms,match,rationale_left,rationale_right,rationale_valid,rationale_failure_reason
CHEMBL1862_Ki,12,53,164,2,calibration,True,2.089905111439397,26.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [20, 19], [21, 24], [22, 23], [23, 22], [24, 21], [25, 20], [26, 25]]","[17, 18, 19, 20]",[],True,
CHEMBL1862_Ki,30,60,126,3,test,True,1.960232873128512,28.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [7, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [13, 12], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 26], [23, 25], [24, 24], [25, 23], [26, 22], [27, 27], [28, 28]]","[4, 5, 6, 7, 8]","[4, 5, 6, 7, 11, 12, 13]",True,
CHEMBL1862_Ki,40,101,102,6,calibration,True,1.192079364439811,20.0,"[[1, 2], [2, 21], [3, 20], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 4], [20, 3]]","[0, 1, 2, 20]","[0, 1, 2, 3, 21]",True,
CHEMBL1862_Ki,42,109,114,8,test,True,1.1024864785694142,20.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 8], [8, 14], [9, 13], [10, 11], [11, 12], [12, 10], [13, 9], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20]]","[5, 6, 7, 8, 13, 14]","[5, 6, 7, 8, 9, 14, 15]",True,
CHEMBL1862_Ki,44,115,163,9,test,True,1.4273237863572463,26.0,"[[1, 0], [2, 1], [3, 2], [4, 3], [5, 4], [6, 5], [7, 6], [8, 7], [9, 8], [10, 9], [11, 10], [13, 12], [14, 13], [15, 14], [16, 15], [17, 16], [18, 17], [19, 18], [21, 20], [22, 25], [23, 24], [24, 23], [25, 22], [26, 21], [27, 26], [28, 27]]","[0, 1, 2, 10, 11, 12, 13, 18, 19, 20, 21]","[9, 10, 11, 12, 17, 18, 19, 20]",True,
CHEMBL1862_Ki,52,135,144,10,test,True,3.4771212547196644,27.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [19, 21], [20, 20], [21, 19], [22, 25], [23, 23], [24, 24], [25, 22], [26, 26], [27, 27]]","[16, 17, 18, 19, 20, 25]","[5, 6, 7, 8, 17, 18, 19, 20, 25]",True,
CHEMBL1862_Ki,56,139,143,11,calibration,True,2.544068044350277,29.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [13, 12], [14, 13], [15, 14], [16, 20], [17, 21], [18, 19], [19, 18], [20, 17], [21, 15], [22, 16], [23, 22], [24, 23], [25, 24], [26, 25], [27, 26], [28, 27], [29, 28]]","[5, 6, 7, 8, 9, 29]","[5, 6, 7, 8, 28]",True,
CHEMBL1862_Ki,57,141,145,12,calibration,True,3.0000000000000018,32.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [20, 21], [21, 20], [22, 19], [23, 29], [24, 23], [25, 24], [26, 25], [27, 26], [28, 27], [29, 28], [30, 22], [31, 30], [32, 31]]","[17, 18, 19, 20, 21, 30]","[17, 18, 19, 20, 29]",True,
CHEMBL1862_Ki,150,431,477,19,test,True,3.3979400086720397,23.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [19, 18], [20, 19], [21, 20], [22, 21], [23, 22], [24, 23]]","[3, 4, 5, 6, 15, 17, 18, 19, 20]","[3, 4, 5, 6]",True,
CHEMBL1862_Ki,265,454,455,21,calibration,True,1.0894004112293103,22.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [23, 24], [24, 25], [25, 26], [26, 27]]","[15, 17, 18, 19, 20, 21, 22]","[15, 17, 18, 19, 20, 21, 22, 23]",True,
