dataset,representation,predictor,seed,variant,permutation_seed,best_step,path,sha256,model_initialization_seed,permutation_id,source
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,20260944,2,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--seed42.json,af3a77ba39b5b2017002ab6c80e7fa77ada6b6f14dc8ccbf57a400c0860676a1,42,42,reused_existing
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,20260945,0,research_v2\artifacts\experiment\xai_sanity_cliffs_major_revision_v1\permutation_stability\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--init42--perm43.json,f1b980c1a4a709141069f57973cb171ec85c6ea43df652ed8ea1c606ce4897bf,42,43,new_fit
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,20260946,7,research_v2\artifacts\experiment\xai_sanity_cliffs_major_revision_v1\permutation_stability\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--init42--perm44.json,673cc9229d0ba07d5c7e8c5266f4f7661b2cf8777ea758d0d81d38ee57152094,42,44,new_fit
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,20260947,0,research_v2\artifacts\experiment\xai_sanity_cliffs_major_revision_v1\permutation_stability\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--init42--perm45.json,6a3a2af79f404a265b942db3005bee38dac762f8db1b92a76c324fda7077933f,42,45,new_fit
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,20260948,45,research_v2\artifacts\experiment\xai_sanity_cliffs_major_revision_v1\permutation_stability\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--init42--perm46.json,19d8f190c1a00e56b992e354acde25661cf5830d92cd1d758a73a96548198ef9,42,46,new_fit
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,20260949,2,research_v2\artifacts\experiment\xai_sanity_cliffs_major_revision_v1\permutation_stability\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--init42--perm47.json,e0020c3e8f5f837a7010e6cd592c46b8966835abfc094019bc98be62ac9afcd9,42,47,new_fit
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,20260950,0,research_v2\artifacts\experiment\xai_sanity_cliffs_major_revision_v1\permutation_stability\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--init42--perm48.json,630c2031da7505a083b3dc31d5cb03cfb20d513dca1bce28e0fe9b3c05944fd5,42,48,new_fit
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,20260951,0,research_v2\artifacts\experiment\xai_sanity_cliffs_major_revision_v1\permutation_stability\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--init42--perm49.json,7b31e0b0048a2b5fc60ab0922b2c8fe84a446fbb15330fc7f695c7ce44dc620d,42,49,new_fit
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,20260952,1,research_v2\artifacts\experiment\xai_sanity_cliffs_major_revision_v1\permutation_stability\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--init42--perm50.json,534fb182148c26c6552960a502caa6d8712822593e7e305de9c68dd826809e34,42,50,new_fit
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,20260953,1,research_v2\artifacts\experiment\xai_sanity_cliffs_major_revision_v1\permutation_stability\models\label_permuted--xgboost--CHEMBL1862_Ki--morgan--init42--perm51.json,7f596859e6cc2603d02e7eed290942115e46ce4ea3dca5126378622432b088b4,42,51,new_fit
