dataset,representation,predictor,seed,variant,parent_prediction_range,mutant_prediction_range,local_domain_prediction_range,finite_local_domain,parent_rows,mutant_rows,model_initialization_seed,permutation_id,permutation_seed
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,0.1493897438049316,0.4126362800598144,0.4126362800598144,True,30,846,42,42,20260944
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,0.0774701833724975,0.1779680252075195,0.1779680252075195,True,30,846,42,43,20260945
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,0.4713735580444336,1.0220468044281006,1.0220468044281006,True,30,846,42,44,20260946
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,0.1128735542297363,0.1914293766021728,0.1914293766021728,True,30,846,42,45,20260947
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,1.1364049911499023,1.5983262062072754,1.5983262062072754,True,30,846,42,46,20260948
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,0.3832437992095947,0.4590755701065063,0.4590755701065063,True,30,846,42,47,20260949
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,0.0320026874542236,0.1027795076370239,0.1027795076370239,True,30,846,42,48,20260950
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,0.1656948328018188,0.1911730766296386,0.1911730766296386,True,30,846,42,49,20260951
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,0.1401649713516235,0.2761378288269043,0.2761378288269043,True,30,846,42,50,20260952
CHEMBL1862_Ki,morgan,xgboost,42,label_permuted,0.0407613515853881,0.1947253942489624,0.1947253942489624,True,30,846,42,51,20260953
CHEMBL1862_Ki,morgan,mlp,42,label_permuted,0.5578114986419678,0.8800628185272217,0.8800628185272217,True,30,846,42,42,20260944
CHEMBL1862_Ki,morgan,mlp,42,label_permuted,0.5108935832977295,0.9062454700469972,0.9062454700469972,True,30,846,42,43,20260945
CHEMBL1862_Ki,morgan,mlp,42,label_permuted,0.7098841667175293,0.8614522218704224,0.8614522218704224,True,30,846,42,44,20260946
CHEMBL1862_Ki,morgan,mlp,42,label_permuted,0.5975606441497803,1.0450595617294312,1.0450595617294312,True,30,846,42,45,20260947
CHEMBL1862_Ki,morgan,mlp,42,label_permuted,0.5571892261505127,0.926950454711914,0.926950454711914,True,30,846,42,46,20260948
CHEMBL1862_Ki,morgan,mlp,42,label_permuted,0.618269681930542,0.9322354793548584,0.9322354793548584,True,30,846,42,47,20260949
CHEMBL1862_Ki,morgan,mlp,42,label_permuted,0.6714520454406738,1.083845615386963,1.083845615386963,True,30,846,42,48,20260950
CHEMBL1862_Ki,morgan,mlp,42,label_permuted,0.5673704147338867,1.034551024436951,1.034551024436951,True,30,846,42,49,20260951
